GEO_ID,NAME,P_Total_HH_SingleFamily,P_Total_HH_W.MinorsSingleFamily,P_Total_IAP_B,P_Total_IAP_W,P_Total_IBP_B,P_Total_IBP_W,Male_FT_Median_Earnings,Female_FT_Median_Earnings,Male_FT_Median_Earnings_B,Female_FT_Median_Earnings_B,Male_FT_Median_Earnings_W,Female_FT_Median_Earnings_W,Male_Other_Median_Earnings,Female_Other_Median_Earnings,Male_Other_Median_Earnings_B,Female_Other_Median_Earnings_B,Male_Other_Median_Earnings_W,Female_Other_Median_Earnings_W,Total_Unemployment_Rate,P_Total_Car_truck_van_B,P_Total_Car_truck_van_W,P_Total_HHOnSNAP_W.MinorsSingleFamily
0500000US28021,"Claiborne County, Mississippi",34.38970819,21.02290555,49.18186695,91.82194617,50.81813305,8.17805383,35000,26613,32397,26171,51822,28272,7813,7787,7500,7942,NA,7763,17.73195876,91.24236253,85.94771242,21.02290555
0500000US28023,"Clarke County, Mississippi",19.10447761,11.67321288,69.52109667,87.73686794,30.47890333,12.26313206,38510,30277,26419,21824,41951,35345,14647,8394,15739,11111,NA,6647,9.081481481,97.18390805,90.41525833,11.67321288
0500000US28025,"Clay County, Mississippi",29.74873063,18.48717615,63.20932625,88.93031628,36.79067375,11.06968372,42204,30717,30561,25924,49033,39018,7677,10442,7475,10518,8566,10053,11.27767528,93.02325581,95.09001637,18.48717615
0500000US28027,"Coahoma County, Mississippi",36.14672762,25.45434274,57.46329306,87.54732018,42.53670694,12.45267982,33447,27961,26304,24957,53530,35591,8424,8017,7835,8486,11875,7188,18.98843931,92.84250085,94.18446161,25.45434274
0500000US28029,"Copiah County, Mississippi",24.93352424,16.39394559,66.31410479,86.94725205,33.68589521,13.05274795,40905,28847,32303,25124,51716,37228,9621,8024,11218,8406,7435,7342,12.29055031,96.79500968,94.44769141,16.39394559
0500000US28031,"Covington County, Mississippi",23.81847088,14.82873248,60.72161924,86.28281118,39.27838076,13.71718882,36867,30837,32317,22366,41747,37500,10495,7008,7596,6590,14692,7486,8.79772643,98.35752483,95.48159577,14.82873248
0500000US28033,"DeSoto County, Mississippi",19.86166977,13.18061415,85.44406951,92.28825119,14.55593049,7.711748805,50864,38790,39268,34500,54162,40574,11562,11348,11283,11272,11747,11394,6.052743932,96.47110078,96.75837737,13.18061415
0500000US28035,"Forrest County, Mississippi",24.54121085,16.1208709,63.08975617,80.81571346,36.91024383,19.18428654,36912,31448,27931,26535,44088,35521,8495,7479,7157,8860,9926,6930,11.88692657,84.13774155,90.9968816,16.1208709
0500000US28037,"Franklin County, Mississippi",20.98805295,13.27090733,76.19912791,85.85755219,23.80087209,14.14244781,46083,32946,32098,34400,55556,32004,9080,8271,NA,9273,9159,6956,7.418111753,96.84210526,91.58492514,13.27090733
0500000US28039,"George County, Mississippi",11.89750693,6.191135734,75.29558183,86.93088449,24.70441817,13.06911551,48602,31531,50064,25226,48682,35111,13086,7254,NA,NA,13762,7214,8.246478067,98.55072464,91.73459173,6.191135734
0500000US28041,"Greene County, Mississippi",14.23095352,9.151892669,64.04793609,88.27805543,35.95206391,11.72194457,54531,24298,35250,22131,57500,24701,10278,11674,2500,17216,13117,11092,11.67444963,89.75609756,95.82230068,9.151892669
0500000US28043,"Grenada County, Mississippi",25.68132843,16.97300038,64.51184414,84.59760274,35.48815586,15.40239726,37169,31526,33646,27715,43125,35975,7198,9057,NA,7236,NA,10504,10.38288288,92.0888055,97.14727996,16.97300038
0500000US28045,"Hancock County, Mississippi",20.73648472,14.31705406,69.76274609,84.19550924,30.23725391,15.80449076,43863,30892,29755,29914,45765,31182,13416,12125,NA,12936,13400,12049,8.59434683,92.2147651,95.32671629,14.31705406
0500000US28047,"Harrison County, Mississippi",22.95761948,15.30465026,63.90238749,85.06694671,36.09761251,14.93305329,40472,31869,30833,27457,42080,34381,11139,9661,10298,8165,11041,10413,8.863955402,92.44519566,90.84802287,15.30465026
0500000US28049,"Hinds County, Mississippi",29.71633035,18.97075813,71.25470878,89.92048106,28.74529122,10.07951894,38520,33188,32404,30804,51414,44183,10283,9507,9385,9120,11979,10629,9.941709294,95.63764438,92.49360442,18.97075813
0500000US28051,"Holmes County, Mississippi",43.10509554,28.39171975,48.03101821,83.55314197,51.96898179,16.44685803,30000,25712,26150,23906,49701,44327,9900,9325,9667,8584,10000,10913,19.63522839,95.2900479,95.36031589,28.39171975
0500000US28053,"Humphreys County, Mississippi",35.74863738,20.64764348,52.65343793,80.304679,47.34656207,19.695321,31037,24920,26411,18152,47833,35938,12733,9980,11063,7694,14360,12188,21.14384749,93.71395617,92.55455712,20.64764348
0500000US28055,"Issaquena County, Mississippi",24.48512586,9.839816934,56.88073394,64.45012788,43.11926606,35.54987212,36477,17452,NA,15913,36406,36111,NA,4292,31136,NA,5250,4083,12.5984252,99.14529915,91.66666667,9.839816934
0500000US28057,"Itawamba County, Mississippi",17.99614206,11.94825825,72.91960508,82.2974607,27.08039492,17.7025393,37679,31034,31750,37891,37995,30929,11987,10916,NA,NA,12599,11074,6.098780244,96.85534591,95.18359561,11.94825825
0500000US28059,"Jackson County, Mississippi",18.95909323,11.33858885,72.26192401,88.82732138,27.73807599,11.17267862,46643,36136,41528,32179,49823,37046,13018,10200,11406,8482,13271,10510,8.191157035,95.17171887,96.18976382,11.33858885
